Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2505835,imr,COUNTRY,SEN,AFR,YEAR,Africa,SEX,SEX_MLE,2010,,,,,DATASOURCE,DATASOURCE_EQ_DHS,59.6 [54.1-65.2],59.6381,54.07788,65.19833,,2022-05-26T11:48:05+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2506216,imr,COUNTRY,DOM,AMR,YEAR,Americas,DHSMICSGEOREGION,DHSMICSGEOREGION_DOMMICS201909,2019,,,,,DATASOURCE,DATASOURCE_EQ_MICS,18.7 [10.4-27.0],18.70065,10.41756,26.98374,,2022-05-26T14:20:59+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2506392,imr,COUNTRY,MOZ,AFR,YEAR,Africa,AGEGROUP,AGEGROUP_YEARS15-19,2008,,,,,DATASOURCE,DATASOURCE_EQ_MICS,0.1 [0.1-0.1],0.13323,0.12295,0.14351,,2022-05-26T11:04:22+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2506724,imr,COUNTRY,ZMB,AFR,YEAR,Africa,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE05,2007,,,,,DATASOURCE,DATASOURCE_EQ_DHS,83.5 [63.0-104.0],83.52239,63.00058,104.0442,,2022-05-26T12:38:27+02:00,2007,2007-01-01T00:00:00+01:00,2007-12-31T00:00:00+01:00
2507181,imr,COUNTRY,TGO,AFR,YEAR,Africa,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE01,2010,,,,,DATASOURCE,DATASOURCE_EQ_MICS,No data,,,,Not available,2022-05-26T12:34:04+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2507285,imr,COUNTRY,ALB,EUR,YEAR,Europe,AGEGROUP,AGEGROUP_YEARS20-49,2005,,,,,DATASOURCE,DATASOURCE_EQ_MICS,No data,,,,Not available,2022-05-26T10:59:05+02:00,2005,2005-01-01T00:00:00+01:00,2005-12-31T00:00:00+01:00
2507654,imr,COUNTRY,ALB,EUR,YEAR,Europe,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,2002,,,,,DATASOURCE,DATASOURCE_EQ_RHS,No data,,,,Not available,2022-05-26T12:45:00+02:00,2002,2002-01-01T00:00:00+01:00,2002-12-31T00:00:00+01:00
2508303,imr,COUNTRY,NGA,AFR,YEAR,Africa,AGEGROUP,AGEGROUP_YEARS15-19,2016,,,,,DATASOURCE,DATASOURCE_EQ_MICS,0.1 [0.1-0.1],0.08905,0.08079,0.09731,,2022-05-26T11:04:57+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2508673,imr,COUNTRY,PHL,WPR,YEAR,Western Pacific,RESIDENCEAREATYPE,RESIDENCEAREATYPE_RUR,2008,,,,,DATASOURCE,DATASOURCE_EQ_DHS,35.1 [29.8-40.4],35.11196,29.79046,40.43345,,2022-05-26T11:38:50+02:00,2008,2008-01-01T00:00:00+01:00,2008-12-31T00:00:00+01:00
2510138,imr,COUNTRY,ECU,AMR,YEAR,Americas,WEALTHQUINTILE,WEALTHQUINTILE_WQ5,2004,,,,,DATASOURCE,DATASOURCE_EQ_RHS,No data,,,,Not available,2022-05-26T12:50:47+02:00,2004,2004-01-01T00:00:00+01:00,2004-12-31T00:00:00+01:00
